Date,Value,High,Low
06/06/2022,9984.92,9994.77,9957.2
05/06/2022,9986,10030.32,9971.71
02/06/2022,10007.51,10097.21,9990.46
01/06/2022,10083.98,10204.49,10041.18
31/05/2022,10150.05,10260.08,10109.36
30/05/2022,10109.36,10170.71,10057.64
29/05/2022,10086.72,10202.59,10077.72
26/05/2022,10200.56,10263.22,10155.46
25/05/2022,10247.43,10448.31,10247.43
24/05/2022,10415.54,10546.68,10374.76
23/05/2022,10514.95,10560.22,10462.74
22/05/2022,10462.74,10571.66,10462.74
19/05/2022,10549.97,10549.97,10345.71
18/05/2022,10467.63,10488.43,10433.96
17/05/2022,10438.95,10571.63,10438.95
16/05/2022,10461.88,10537.91,10391.52
15/05/2022,10534.22,10743.98,10534.22
12/05/2022,10678.98,10855.93,10602.41
11/05/2022,10855.93,10925.99,10810.15
10/05/2022,10811.45,10906.72,10778
09/05/2022,10906.72,11177.27,10906.72
08/05/2022,11109.22,11114.74,10949.65
28/04/2022,11047.7,11055.9,10717.49
27/04/2022,10718.22,10772.46,10681.02
26/04/2022,10682.08,10682.08,10529.49
21/04/2022,10548.14,10580.74,10443.92
20/04/2022,10444.76,10626.81,10441.52
19/04/2022,10626.81,10724.8,10566.93
18/04/2022,10724.8,10724.8,10580.1
17/04/2022,10707.93,10848.01,10642.3
14/04/2022,10679.55,10847.46,10614.24
13/04/2022,10847.46,10936.21,10847.46
12/04/2022,10898.69,10942.09,10728.66
11/04/2022,10728.66,10899.36,10715.53
10/04/2022,10897.61,11101.94,10872.94
07/04/2022,11101.94,11359.56,11091.16
06/04/2022,11347.96,11417.95,11319.85
05/04/2022,11380.85,11545.14,11375.44
04/04/2022,11529.18,11563.18,11512.07
03/04/2022,11562.21,11562.21,11238.48
31/03/2022,11238.48,11239.21,11123.13
30/03/2022,11239.21,11456,11239.21
29/03/2022,11393.54,11393.54,11151.12
28/03/2022,11240.79,11592.54,11240.79
27/03/2022,11545.61,11709.16,11465.63
24/03/2022,11709.16,11810.02,11704.33
23/03/2022,11743.91,11743.91,11586.76
22/03/2022,11663.32,11977.24,11511.15
21/03/2022,11511.15,11511.15,10973.72
20/03/2022,10973.72,10973.72,10726.44
17/03/2022,10726.44,10804.73,10675.27
16/03/2022,10705.6,10719.92,10423.09
15/03/2022,10423.09,10423.09,10285.09
14/03/2022,10419.56,10480.67,10361.17
13/03/2022,10480.67,10550.69,10453.59
10/03/2022,10453.59,10453.59,10332.19
09/03/2022,10415.73,10485.58,10395.13
08/03/2022,10396.83,10701.14,10357.72
07/03/2022,10701.14,11095.68,10691.68
06/03/2022,11094.66,11305.55,11087.96
03/03/2022,11305.55,11305.55,11189.29
02/03/2022,11189.29,11291.44,11189.29
01/03/2022,11275.78,11297.56,11138.86
28/02/2022,11138.86,11176.22,11094.32
27/02/2022,11174.09,11174.09,10890.88
24/02/2022,10890.88,11301.08,10841.98
23/02/2022,11301.08,11349.82,11294.91
22/02/2022,11302.49,11501.92,11256.96
21/02/2022,11501.92,11506.69,11370.47
20/02/2022,11371.21,11535.37,11371.06
17/02/2022,11535.02,11568.14,11497.51
16/02/2022,11568.14,11627.44,11523.64
15/02/2022,11563.38,11563.38,11402.38
14/02/2022,11403.34,11438.12,11320.24
13/02/2022,11438.12,11589.04,11418.92
10/02/2022,11578.54,11615.84,11548.99
09/02/2022,11596.29,11703.67,11527.9
08/02/2022,11527.9,11575.82,11523.67
07/02/2022,11548.61,11708.02,11524.25
06/02/2022,11689.55,11689.55,11637.92
03/02/2022,11638.06,11720.71,11618.62
02/02/2022,11691.82,11691.82,11603.33
01/02/2022,11603.33,11603.33,11490.45
31/01/2022,11490.45,11513.7,11420.47
30/01/2022,11457.46,11514.27,11457.46
26/01/2022,11499.85,11562.02,11496.68
25/01/2022,11542.43,11624.5,11516.91
24/01/2022,11616.13,11671.21,11608.89
23/01/2022,11655.72,11731.71,11584.5
20/01/2022,11731.71,11731.71,11608.63
19/01/2022,11715.01,11882.29,11693.56
18/01/2022,11876.44,11876.44,11805.42
17/01/2022,11859.12,11871.77,11807.43
16/01/2022,11830.94,12012.73,11820.16
13/01/2022,12012.31,12063.94,11978.78
12/01/2022,12060,12065.14,12002.08
11/01/2022,12002.08,12047.33,11979.2
10/01/2022,12022.69,12040.33,11978.56
09/01/2022,11978.56,12044.78,11958.61
05/01/2022,12043.42,12069.23,11981.25
04/01/2022,11982.61,11984.21,11897.15
03/01/2022,11897.4,11916,11870.47
02/01/2022,11909.72,12017.44,11907.75
30/12/2021,11949.18,11949.18,11857.97
29/12/2021,11898.42,11950.34,11895.53
28/12/2021,11913.44,11913.44,11840.1
27/12/2021,11849.79,11922.68,11834
26/12/2021,11856.21,11906.26,11755.46
23/12/2021,11755.46,11776.26,11630.63
